Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2020,62,0.027000000000000003,"2,326",U
National 5 (SCQF level 5),Sociology,2020,96,0.336,286,A
National 5 (SCQF level 5),Sociology,2020,170,0.594,286,B & above
National 5 (SCQF level 5),Sociology,2020,251,0.878,286,C & above
National 5 (SCQF level 5),Sociology,2020,269,0.941,286,D & above
National 5 (SCQF level 5),Sociology,2020,17,0.059000000000000004,286,U
National 5 (SCQF level 5),Spanish,2020,3276,0.564,"5,813",A
National 5 (SCQF level 5),Spanish,2020,4538,0.7809999999999999,"5,813",B & above
National 5 (SCQF level 5),Spanish,2020,5517,0.9490000000000001,"5,813",C & above
National 5 (SCQF level 5),Spanish,2020,5752,0.99,"5,813",D & above
National 5 (SCQF level 5),Spanish,2020,61,0.01,"5,813",U
National 5 (SCQF level 5),All subjects,2020,127299,0.423,"300,639",A
National 5 (SCQF level 5),All subjects,2020,201362,0.67,"300,639",B & above
National 5 (SCQF level 5),All subjects,2020,267558,0.89,"300,639",C & above
National 5 (SCQF level 5),All subjects,2020,288941,0.961,"300,639",D & above
National 5 (SCQF level 5),All subjects,2020,11698,0.039,"300,639",U
National 5 (SCQF level 5),Accounting,2019,434,0.483,898,A
National 5 (SCQF level 5),Accounting,2019,615,0.685,898,B & above
National 5 (SCQF level 5),Accounting,2019,749,0.8340000000000001,898,C & above
National 5 (SCQF level 5),Accounting,2019,813,0.905,898,D & above
National 5 (SCQF level 5),Accounting,2019,85,0.095,898,U
National 5 (SCQF level 5),Administration and IT,2019,1451,0.297,"4,885",A
National 5 (SCQF level 5),Administration and IT,2019,2758,0.565,"4,885",B & above
National 5 (SCQF level 5),Administration and IT,2019,3845,0.787,"4,885",C & above
National 5 (SCQF level 5),Administration and IT,2019,4488,0.919,"4,885",D & above
National 5 (SCQF level 5),Administration and IT,2019,397,0.081,"4,885",U
National 5 (SCQF level 5),Applications of Mathematics,2019,1062,0.23800000000000002,"4,458",A
National 5 (SCQF level 5),Applications of Mathematics,2019,1779,0.39899999999999997,"4,458",B & above
National 5 (SCQF level 5),Applications of Mathematics,2019,2607,0.585,"4,458",C & above
National 5 (SCQF level 5),Applications of Mathematics,2019,3435,0.7709999999999999,"4,458",D & above
National 5 (SCQF level 5),Applications of Mathematics,2019,1023,0.22899999999999998,"4,458",U
National 5 (SCQF level 5),Art and Design,2019,3252,0.349,"9,322",A
National 5 (SCQF level 5),Art and Design,2019,5945,0.638,"9,322",B & above
National 5 (SCQF level 5),Art and Design,2019,8127,0.872,"9,322",C & above
National 5 (SCQF level 5),Art and Design,2019,9056,0.971,"9,322",D & above
National 5 (SCQF level 5),Art and Design,2019,266,0.028999999999999998,"9,322",U
National 5 (SCQF level 5),Biology,2019,6355,0.295,"21,549",A
National 5 (SCQF level 5),Biology,2019,10812,0.502,"21,549",B & above
National 5 (SCQF level 5),Biology,2019,15199,0.705,"21,549",C & above
National 5 (SCQF level 5),Biology,2019,19125,0.888,"21,549",D & above
National 5 (SCQF level 5),Biology,2019,2424,0.11199999999999999,"21,549",U
National 5 (SCQF level 5),Business Management,2019,2660,0.35100000000000003,"7,576",A
National 5 (SCQF level 5),Business Management,2019,4373,0.5770000000000001,"7,576",B & above
National 5 (SCQF level 5),Business Management,2019,5941,0.784,"7,576",C & above
National 5 (SCQF level 5),Business Management,2019,6946,0.917,"7,576",D & above
National 5 (SCQF level 5),Business Management,2019,630,0.083,"7,576",U
National 5 (SCQF level 5),Care,2019,163,0.33899999999999997,481,A
National 5 (SCQF level 5),Care,2019,280,0.5820000000000001,481,B & above
National 5 (SCQF level 5),Care,2019,384,0.7979999999999999,481,C & above
National 5 (SCQF level 5),Care,2019,441,0.917,481,D & above
National 5 (SCQF level 5),Care,2019,40,0.083,481,U
National 5 (SCQF level 5),Chemistry,2019,5544,0.34600000000000003,"16,035",A
National 5 (SCQF level 5),Chemistry,2019,9005,0.562,"16,035",B & above
National 5 (SCQF level 5),Chemistry,2019,12326,0.769,"16,035",C & above
National 5 (SCQF level 5),Chemistry,2019,14879,0.9279999999999999,"16,035",D & above
National 5 (SCQF level 5),Chemistry,2019,1156,0.07200000000000001,"16,035",U
National 5 (SCQF level 5),Chinese Languages,2019,143,0.753,190,A
National 5 (SCQF level 5),Chinese Languages,2019,158,0.8320000000000001,190,B & above
National 5 (SCQF level 5),Chinese Languages,2019,183,0.963,190,C & above
National 5 (SCQF level 5),Chinese Languages,2019,187,0.9840000000000001,190,D & above
National 5 (SCQF level 5),Chinese Languages,2019,3,0.016,190,U
National 5 (SCQF level 5),Computing Science,2019,2000,0.315,"6,344",A
National 5 (SCQF level 5),Computing Science,2019,3421,0.539,"6,344",B & above
National 5 (SCQF level 5),Computing Science,2019,4740,0.747,"6,344",C & above
National 5 (SCQF level 5),Computing Science,2019,5644,0.89,"6,344",D & above
National 5 (SCQF level 5),Computing Science,2019,700,0.11,"6,344",U
National 5 (SCQF level 5),Dance,2019,284,0.41,693,A
National 5 (SCQF level 5),Dance,2019,463,0.6679999999999999,693,B & above
National 5 (SCQF level 5),Dance,2019,605,0.873,693,C & above
National 5 (SCQF level 5),Dance,2019,665,0.96,693,D & above
National 5 (SCQF level 5),Dance,2019,28,0.04,693,U
National 5 (SCQF level 5),Design and Manufacture,2019,809,0.18100000000000002,"4,481",A
National 5 (SCQF level 5),Design and Manufacture,2019,1941,0.433,"4,481",B & above
National 5 (SCQF level 5),Design and Manufacture,2019,3156,0.7040000000000001,"4,481",C & above
National 5 (SCQF level 5),Design and Manufacture,2019,3992,0.8909999999999999,"4,481",D & above
National 5 (SCQF level 5),Design and Manufacture,2019,489,0.109,"4,481",U
National 5 (SCQF level 5),Drama,2019,2861,0.588,"4,866",A
National 5 (SCQF level 5),Drama,2019,3904,0.802,"4,866",B & above
National 5 (SCQF level 5),Drama,2019,4551,0.935,"4,866",C & above
National 5 (SCQF level 5),Drama,2019,4782,0.983,"4,866",D & above
National 5 (SCQF level 5),Drama,2019,84,0.017,"4,866",U
National 5 (SCQF level 5),Economics,2019,174,0.649,268,A
National 5 (SCQF level 5),Economics,2019,217,0.81,268,B & above
National 5 (SCQF level 5),Economics,2019,243,0.907,268,C & above
National 5 (SCQF level 5),Economics,2019,261,0.9740000000000001,268,D & above
National 5 (SCQF level 5),Economics,2019,7,0.026000000000000002,268,U
National 5 (SCQF level 5),Engineering Science,2019,790,0.48,"1,646",A
National 5 (SCQF level 5),Engineering Science,2019,1157,0.703,"1,646",B & above
National 5 (SCQF level 5),Engineering Science,2019,1379,0.838,"1,646",C & above
National 5 (SCQF level 5),Engineering Science,2019,1524,0.9259999999999999,"1,646",D & above
National 5 (SCQF level 5),Engineering Science,2019,122,0.07400000000000001,"1,646",U
National 5 (SCQF level 5),English,2019,16085,0.353,"45,593",A
National 5 (SCQF level 5),English,2019,29886,0.655,"45,593",B & above
National 5 (SCQF level 5),English,2019,39345,0.863,"45,593",C & above
National 5 (SCQF level 5),English,2019,43807,0.961,"45,593",D & above
National 5 (SCQF level 5),English,2019,1786,0.039,"45,593",U
National 5 (SCQF level 5),English for Speakers of Other Languages,2019,266,0.254,"1,048",A
National 5 (SCQF level 5),English for Speakers of Other Languages,2019,540,0.515,"1,048",B & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2019,817,0.78,"1,048",C & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2019,981,0.9359999999999999,"1,048",D & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2019,67,0.064,"1,048",U
National 5 (SCQF level 5),Environmental Science,2019,25,0.121,207,A
National 5 (SCQF level 5),Environmental Science,2019,62,0.3,207,B & above
National 5 (SCQF level 5),Environmental Science,2019,100,0.483,207,C & above
National 5 (SCQF level 5),Environmental Science,2019,157,0.758,207,D & above
National 5 (SCQF level 5),Environmental Science,2019,50,0.242,207,U
National 5 (SCQF level 5),Fashion and Textile Technology,2019,47,0.12300000000000001,382,A
National 5 (SCQF level 5),Fashion and Textile Technology,2019,131,0.34299999999999997,382,B & above
National 5 (SCQF level 5),Fashion and Textile Technology,2019,225,0.589,382,C & above
National 5 (SCQF level 5),Fashion and Textile Technology,2019,311,0.8140000000000001,382,D & above
National 5 (SCQF level 5),Fashion and Textile Technology,2019,71,0.18600000000000003,382,U
National 5 (SCQF level 5),French,2019,4272,0.5429999999999999,"7,872",A
National 5 (SCQF level 5),French,2019,5578,0.7090000000000001,"7,872",B & above
National 5 (SCQF level 5),French,2019,6680,0.8490000000000001,"7,872",C & above
National 5 (SCQF level 5),French,2019,7383,0.938,"7,872",D & above
National 5 (SCQF level 5),French,2019,489,0.062,"7,872",U
National 5 (SCQF level 5),Gaelic (Learners),2019,56,0.415,135,A
National 5 (SCQF level 5),Gaelic (Learners),2019,77,0.57,135,B & above
National 5 (SCQF level 5),Gaelic (Learners),2019,99,0.733,135,C & above
National 5 (SCQF level 5),Gaelic (Learners),2019,121,0.8959999999999999,135,D & above
National 5 (SCQF level 5),Gaelic (Learners),2019,14,0.10400000000000001,135,U
National 5 (SCQF level 5),Gàidhlig,2019,99,0.508,195,A
National 5 (SCQF level 5),Gàidhlig,2019,157,0.805,195,B & above
National 5 (SCQF level 5),Gàidhlig,2019,179,0.9179999999999999,195,C & above
National 5 (SCQF level 5),Gàidhlig,2019,193,0.99,195,D & above
National 5 (SCQF level 5),Gàidhlig,2019,2,0.01,195,U
National 5 (SCQF level 5),Geography,2019,2836,0.29,"9,793",A
National 5 (SCQF level 5),Geography,2019,5103,0.521,"9,793",B & above
National 5 (SCQF level 5),Geography,2019,7029,0.718,"9,793",C & above
National 5 (SCQF level 5),Geography,2019,8552,0.873,"9,793",D & above
National 5 (SCQF level 5),Geography,2019,1241,0.127,"9,793",U
National 5 (SCQF level 5),German,2019,981,0.5429999999999999,"1,805",A
National 5 (SCQF level 5),German,2019,1303,0.722,"1,805",B & above
National 5 (SCQF level 5),German,2019,1556,0.862,"1,805",C & above
National 5 (SCQF level 5),German,2019,1729,0.958,"1,805",D & above
National 5 (SCQF level 5),German,2019,76,0.042,"1,805",U
National 5 (SCQF level 5),Graphic Communication,2019,1176,0.218,"5,406",A
National 5 (SCQF level 5),Graphic Communication,2019,2532,0.46799999999999997,"5,406",B & above
National 5 (SCQF level 5),Graphic Communication,2019,3905,0.722,"5,406",C & above
National 5 (SCQF level 5),Graphic Communication,2019,4815,0.8909999999999999,"5,406",D & above
National 5 (SCQF level 5),Graphic Communication,2019,591,0.109,"5,406",U
National 5 (SCQF level 5),Health and Food Technology,2019,309,0.21100000000000002,"1,461",A
National 5 (SCQF level 5),Health and Food Technology,2019,690,0.47200000000000003,"1,461",B & above
National 5 (SCQF level 5),Health and Food Technology,2019,1086,0.743,"1,461",C & above
National 5 (SCQF level 5),Health and Food Technology,2019,1321,0.904,"1,461",D & above
National 5 (SCQF level 5),Health and Food Technology,2019,140,0.096,"1,461",U
National 5 (SCQF level 5),History,2019,5557,0.377,"14,735",A
National 5 (SCQF level 5),History,2019,9042,0.614,"14,735",B & above
National 5 (SCQF level 5),History,2019,11679,0.7929999999999999,"14,735",C & above
National 5 (SCQF level 5),History,2019,13502,0.9159999999999999,"14,735",D & above
National 5 (SCQF level 5),History,2019,1233,0.084,"14,735",U
National 5 (SCQF level 5),Hospitality: Practical Cake Craft,2019,176,0.138,"1,276",A
National 5 (SCQF level 5),Hospitality: Practical Cake Craft,2019,459,0.36,"1,276",B & above
National 5 (SCQF level 5),Hospitality: Practical Cake Craft,2019,769,0.603,"1,276",C & above
National 5 (SCQF level 5),Hospitality: Practical Cake Craft,2019,1086,0.851,"1,276",D & above
National 5 (SCQF level 5),Hospitality: Practical Cake Craft,2019,190,0.149,"1,276",U
National 5 (SCQF level 5),Hospitality: Practical Cookery,2019,981,0.19899999999999998,"4,939",A
National 5 (SCQF level 5),Hospitality: Practical Cookery,2019,2707,0.5479999999999999,"4,939",B & above
National 5 (SCQF level 5),Hospitality: Practical Cookery,2019,4119,0.8340000000000001,"4,939",C & above
National 5 (SCQF level 5),Hospitality: Practical Cookery,2019,4713,0.9540000000000001,"4,939",D & above
National 5 (SCQF level 5),Hospitality: Practical Cookery,2019,226,0.046,"4,939",U
National 5 (SCQF level 5),Italian,2019,123,0.5670000000000001,217,A
National 5 (SCQF level 5),Italian,2019,166,0.765,217,B & above
National 5 (SCQF level 5),Italian,2019,193,0.889,217,C & above
National 5 (SCQF level 5),Italian,2019,211,0.972,217,D & above
National 5 (SCQF level 5),Italian,2019,6,0.027999999999999997,217,U
National 5 (SCQF level 5),Latin,2019,318,0.846,376,A
National 5 (SCQF level 5),Latin,2019,354,0.941,376,B & above
National 5 (SCQF level 5),Latin,2019,362,0.963,376,C & above
National 5 (SCQF level 5),Latin,2019,373,0.992,376,D & above
National 5 (SCQF level 5),Latin,2019,3,0.008,376,U
National 5 (SCQF level 5),Mathematics,2019,12847,0.309,"41,586",A
National 5 (SCQF level 5),Mathematics,2019,20376,0.49,"41,586",B & above
National 5 (SCQF level 5),Mathematics,2019,27241,0.655,"41,586",C & above
National 5 (SCQF level 5),Mathematics,2019,33331,0.8009999999999999,"41,586",D & above
National 5 (SCQF level 5),Mathematics,2019,8255,0.19899999999999998,"41,586",U
National 5 (SCQF level 5),Media,2019,291,0.299,972,A
National 5 (SCQF level 5),Media,2019,475,0.489,972,B & above
National 5 (SCQF level 5),Media,2019,641,0.659,972,C & above
National 5 (SCQF level 5),Media,2019,810,0.833,972,D & above
National 5 (SCQF level 5),Media,2019,162,0.16699999999999998,972,U
National 5 (SCQF level 5),Modern Studies,2019,3588,0.3,"11,967",A
National 5 (SCQF level 5),Modern Studies,2019,6295,0.526,"11,967",B & above
National 5 (SCQF level 5),Modern Studies,2019,8785,0.7340000000000001,"11,967",C & above
National 5 (SCQF level 5),Modern Studies,2019,10508,0.878,"11,967",D & above
National 5 (SCQF level 5),Modern Studies,2019,1459,0.122,"11,967",U
National 5 (SCQF level 5),Music,2019,4382,0.608,"7,202",A
National 5 (SCQF level 5),Music,2019,5990,0.8320000000000001,"7,202",B & above
National 5 (SCQF level 5),Music,2019,6767,0.94,"7,202",C & above
National 5 (SCQF level 5),Music,2019,7063,0.981,"7,202",D & above
National 5 (SCQF level 5),Music,2019,139,0.019,"7,202",U
National 5 (SCQF level 5),Music Technology,2019,353,0.318,"1,110",A
National 5 (SCQF level 5),Music Technology,2019,718,0.647,"1,110",B & above
National 5 (SCQF level 5),Music Technology,2019,943,0.85,"1,110",C & above
National 5 (SCQF level 5),Music Technology,2019,1060,0.955,"1,110",D & above
National 5 (SCQF level 5),Music Technology,2019,50,0.045,"1,110",U
National 5 (SCQF level 5),Philosophy,2019,73,0.268,272,A
National 5 (SCQF level 5),Philosophy,2019,122,0.449,272,B & above
National 5 (SCQF level 5),Philosophy,2019,164,0.603,272,C & above
National 5 (SCQF level 5),Philosophy,2019,213,0.7829999999999999,272,D & above
National 5 (SCQF level 5),Philosophy,2019,59,0.217,272,U
National 5 (SCQF level 5),Physical Education,2019,7700,0.45899999999999996,"16,771",A
National 5 (SCQF level 5),Physical Education,2019,12908,0.77,"16,771",B & above
National 5 (SCQF level 5),Physical Education,2019,15750,0.9390000000000001,"16,771",C & above
National 5 (SCQF level 5),Physical Education,2019,16594,0.9890000000000001,"16,771",D & above
National 5 (SCQF level 5),Physical Education,2019,177,0.011000000000000001,"16,771",U
National 5 (SCQF level 5),Physics,2019,4384,0.318,"13,792",A
National 5 (SCQF level 5),Physics,2019,7488,0.5429999999999999,"13,792",B & above
National 5 (SCQF level 5),Physics,2019,10289,0.746,"13,792",C & above
National 5 (SCQF level 5),Physics,2019,12311,0.893,"13,792",D & above
National 5 (SCQF level 5),Physics,2019,1481,0.107,"13,792",U
National 5 (SCQF level 5),Practical Electronics,2019,82,0.392,209,A
National 5 (SCQF level 5),Practical Electronics,2019,135,0.6459999999999999,209,B & above
National 5 (SCQF level 5),Practical Electronics,2019,181,0.866,209,C & above
National 5 (SCQF level 5),Practical Electronics,2019,200,0.9570000000000001,209,D & above
National 5 (SCQF level 5),Practical Electronics,2019,9,0.043,209,U
National 5 (SCQF level 5),Practical Metalworking,2019,465,0.36700000000000005,"1,267",A
National 5 (SCQF level 5),Practical Metalworking,2019,818,0.6459999999999999,"1,267",B & above
National 5 (SCQF level 5),Practical Metalworking,2019,1047,0.826,"1,267",C & above
National 5 (SCQF level 5),Practical Metalworking,2019,1163,0.9179999999999999,"1,267",D & above
National 5 (SCQF level 5),Practical Metalworking,2019,104,0.08199999999999999,"1,267",U
National 5 (SCQF level 5),Practical Woodworking,2019,1840,0.34700000000000003,"5,298",A
National 5 (SCQF level 5),Practical Woodworking,2019,3448,0.6509999999999999,"5,298",B & above
National 5 (SCQF level 5),Practical Woodworking,2019,4554,0.86,"5,298",C & above
National 5 (SCQF level 5),Practical Woodworking,2019,5018,0.9470000000000001,"5,298",D & above
National 5 (SCQF level 5),Practical Woodworking,2019,280,0.053,"5,298",U
National 5 (SCQF level 5),Psychology,2019,243,0.245,992,A
National 5 (SCQF level 5),Psychology,2019,402,0.405,992,B & above
National 5 (SCQF level 5),Psychology,2019,575,0.58,992,C & above
National 5 (SCQF level 5),Psychology,2019,736,0.742,992,D & above
National 5 (SCQF level 5),Psychology,2019,256,0.258,992,U
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2019,829,0.34299999999999997,"2,419",A
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2019,1244,0.514,"2,419",B & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2019,1655,0.684,"2,419",C & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2019,1980,0.8190000000000001,"2,419",D & above
National 5 (SCQF level 5),"Religious, Moral and Philosophical Studies",2019,439,0.18100000000000002,"2,419",U
National 5 (SCQF level 5),Sociology,2019,75,0.29,259,A
National 5 (SCQF level 5),Sociology,2019,124,0.479,259,B & above
National 5 (SCQF level 5),Sociology,2019,179,0.691,259,C & above
National 5 (SCQF level 5),Sociology,2019,208,0.8029999999999999,259,D & above
National 5 (SCQF level 5),Sociology,2019,51,0.19699999999999998,259,U
National 5 (SCQF level 5),Spanish,2019,2713,0.53,"5,122",A
National 5 (SCQF level 5),Spanish,2019,3759,0.7340000000000001,"5,122",B & above
National 5 (SCQF level 5),Spanish,2019,4486,0.8759999999999999,"5,122",C & above
National 5 (SCQF level 5),Spanish,2019,4904,0.9570000000000001,"5,122",D & above
National 5 (SCQF level 5),Spanish,2019,218,0.043,"5,122",U
National 5 (SCQF level 5),All subjects,2019,101273,0.35100000000000003,"288,552",A
National 5 (SCQF level 5),All subjects,2019,170060,0.589,"288,552",B & above
National 5 (SCQF level 5),All subjects,2019,225594,0.782,"288,552",C & above
National 5 (SCQF level 5),All subjects,2019,261765,0.907,"288,552",D & above
National 5 (SCQF level 5),All subjects,2019,26787,0.09300000000000001,"288,552",U
National 5 (SCQF level 5),Accounting,2018,436,0.48700000000000004,896,A
National 5 (SCQF level 5),Accounting,2018,580,0.647,896,B & above
National 5 (SCQF level 5),Accounting,2018,711,0.794,896,C & above
National 5 (SCQF level 5),Accounting,2018,810,0.904,896,D & above
National 5 (SCQF level 5),Accounting,2018,86,0.096,896,U
National 5 (SCQF level 5),Administration and IT,2018,1449,0.304,"4,767",A
National 5 (SCQF level 5),Administration and IT,2018,2795,0.586,"4,767",B & above
National 5 (SCQF level 5),Administration and IT,2018,3816,0.8009999999999999,"4,767",C & above
National 5 (SCQF level 5),Administration and IT,2018,4404,0.924,"4,767",D & above
National 5 (SCQF level 5),Administration and IT,2018,363,0.076,"4,767",U
National 5 (SCQF level 5),Applications of Mathematics,2018,460,0.185,"2,482",A
National 5 (SCQF level 5),Applications of Mathematics,2018,945,0.381,"2,482",B & above
National 5 (SCQF level 5),Applications of Mathematics,2018,1434,0.578,"2,482",C & above
National 5 (SCQF level 5),Applications of Mathematics,2018,1921,0.774,"2,482",D & above
National 5 (SCQF level 5),Applications of Mathematics,2018,561,0.226,"2,482",U
National 5 (SCQF level 5),Art and Design,2018,3894,0.423,"9,198",A
National 5 (SCQF level 5),Art and Design,2018,6424,0.698,"9,198",B & above
National 5 (SCQF level 5),Art and Design,2018,8144,0.885,"9,198",C & above
National 5 (SCQF level 5),Art and Design,2018,8940,0.972,"9,198",D & above
National 5 (SCQF level 5),Art and Design,2018,258,0.027999999999999997,"9,198",U
National 5 (SCQF level 5),Biology,2018,6504,0.311,"20,928",A
National 5 (SCQF level 5),Biology,2018,11041,0.528,"20,928",B & above
National 5 (SCQF level 5),Biology,2018,15253,0.7290000000000001,"20,928",C & above
National 5 (SCQF level 5),Biology,2018,18730,0.895,"20,928",D & above
National 5 (SCQF level 5),Biology,2018,2198,0.105,"20,928",U
National 5 (SCQF level 5),Business Management,2018,2866,0.387,"7,411",A
National 5 (SCQF level 5),Business Management,2018,4440,0.599,"7,411",B & above
National 5 (SCQF level 5),Business Management,2018,5876,0.7929999999999999,"7,411",C & above
National 5 (SCQF level 5),Business Management,2018,6745,0.91,"7,411",D & above
National 5 (SCQF level 5),Business Management,2018,666,0.09,"7,411",U
National 5 (SCQF level 5),Care,2018,212,0.32899999999999996,645,A
National 5 (SCQF level 5),Care,2018,365,0.5660000000000001,645,B & above
National 5 (SCQF level 5),Care,2018,503,0.78,645,C & above
National 5 (SCQF level 5),Care,2018,592,0.9179999999999999,645,D & above
National 5 (SCQF level 5),Care,2018,53,0.08199999999999999,645,U
National 5 (SCQF level 5),Chemistry,2018,5787,0.363,"15,930",A
National 5 (SCQF level 5),Chemistry,2018,9255,0.581,"15,930",B & above
National 5 (SCQF level 5),Chemistry,2018,12296,0.772,"15,930",C & above
National 5 (SCQF level 5),Chemistry,2018,14529,0.912,"15,930",D & above
National 5 (SCQF level 5),Chemistry,2018,1401,0.08800000000000001,"15,930",U
National 5 (SCQF level 5),Chinese Languages,2018,120,0.645,186,A
National 5 (SCQF level 5),Chinese Languages,2018,151,0.812,186,B & above
National 5 (SCQF level 5),Chinese Languages,2018,165,0.887,186,C & above
National 5 (SCQF level 5),Chinese Languages,2018,174,0.935,186,D & above
National 5 (SCQF level 5),Chinese Languages,2018,12,0.065,186,U
National 5 (SCQF level 5),Computing Science,2018,1884,0.292,"6,442",A
National 5 (SCQF level 5),Computing Science,2018,3443,0.534,"6,442",B & above
National 5 (SCQF level 5),Computing Science,2018,4814,0.747,"6,442",C & above
National 5 (SCQF level 5),Computing Science,2018,5733,0.89,"6,442",D & above
National 5 (SCQF level 5),Computing Science,2018,709,0.11,"6,442",U
National 5 (SCQF level 5),Dance,2018,284,0.509,558,A
National 5 (SCQF level 5),Dance,2018,418,0.7490000000000001,558,B & above
National 5 (SCQF level 5),Dance,2018,514,0.9209999999999999,558,C & above
National 5 (SCQF level 5),Dance,2018,551,0.987,558,D & above
National 5 (SCQF level 5),Dance,2018,7,0.013000000000000001,558,U
National 5 (SCQF level 5),Design and Manufacture,2018,565,0.12300000000000001,"4,599",A
National 5 (SCQF level 5),Design and Manufacture,2018,1407,0.306,"4,599",B & above
National 5 (SCQF level 5),Design and Manufacture,2018,2603,0.5660000000000001,"4,599",C & above
National 5 (SCQF level 5),Design and Manufacture,2018,3716,0.8079999999999999,"4,599",D & above
National 5 (SCQF level 5),Design and Manufacture,2018,883,0.192,"4,599",U
National 5 (SCQF level 5),Drama,2018,2511,0.557,"4,507",A
National 5 (SCQF level 5),Drama,2018,3532,0.784,"4,507",B & above
National 5 (SCQF level 5),Drama,2018,4167,0.925,"4,507",C & above
National 5 (SCQF level 5),Drama,2018,4417,0.98,"4,507",D & above
National 5 (SCQF level 5),Drama,2018,90,0.02,"4,507",U
National 5 (SCQF level 5),Economics,2018,200,0.722,277,A
National 5 (SCQF level 5),Economics,2018,244,0.8809999999999999,277,B & above
National 5 (SCQF level 5),Economics,2018,262,0.946,277,C & above
National 5 (SCQF level 5),Economics,2018,273,0.986,277,D & above
National 5 (SCQF level 5),Economics,2018,4,0.013999999999999999,277,U
National 5 (SCQF level 5),Engineering Science,2018,733,0.405,"1,808",A
National 5 (SCQF level 5),Engineering Science,2018,1118,0.618,"1,808",B & above
National 5 (SCQF level 5),Engineering Science,2018,1407,0.778,"1,808",C & above
National 5 (SCQF level 5),Engineering Science,2018,1595,0.882,"1,808",D & above
National 5 (SCQF level 5),Engineering Science,2018,213,0.11800000000000001,"1,808",U
National 5 (SCQF level 5),English,2018,15916,0.358,"44,477",A
National 5 (SCQF level 5),English,2018,27925,0.628,"44,477",B & above
National 5 (SCQF level 5),English,2018,37701,0.848,"44,477",C & above
National 5 (SCQF level 5),English,2018,42176,0.948,"44,477",D & above
National 5 (SCQF level 5),English,2018,2301,0.052000000000000005,"44,477",U
National 5 (SCQF level 5),English for Speakers of Other Languages,2018,321,0.31,"1,035",A
National 5 (SCQF level 5),English for Speakers of Other Languages,2018,586,0.5660000000000001,"1,035",B & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2018,832,0.804,"1,035",C & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2018,965,0.932,"1,035",D & above
National 5 (SCQF level 5),English for Speakers of Other Languages,2018,70,0.068,"1,035",U
National 5 (SCQF level 5),Environmental Science,2018,23,0.085,272,A
National 5 (SCQF level 5),Environmental Science,2018,79,0.29,272,B & above
National 5 (SCQF level 5),Environmental Science,2018,141,0.518,272,C & above
National 5 (SCQF level 5),Environmental Science,2018,208,0.765,272,D & above
National 5 (SCQF level 5),Environmental Science,2018,64,0.235,272,U
National 5 (SCQF level 5),Fashion and Textile Technology,2018,58,0.131,444,A
National 5 (SCQF level 5),Fashion and Textile Technology,2018,154,0.34700000000000003,444,B & above
National 5 (SCQF level 5),Fashion and Textile Technology,2018,285,0.642,444,C & above
National 5 (SCQF level 5),Fashion and Textile Technology,2018,378,0.851,444,D & above
National 5 (SCQF level 5),Fashion and Textile Technology,2018,66,0.149,444,U
National 5 (SCQF level 5),French,2018,4632,0.569,"8,145",A
National 5 (SCQF level 5),French,2018,6023,0.7390000000000001,"8,145",B & above
National 5 (SCQF level 5),French,2018,7115,0.8740000000000001,"8,145",C & above
National 5 (SCQF level 5),French,2018,7748,0.951,"8,145",D & above
National 5 (SCQF level 5),French,2018,397,0.049,"8,145",U
National 5 (SCQF level 5),Gaelic (Learners),2018,53,0.495,107,A
National 5 (SCQF level 5),Gaelic (Learners),2018,79,0.738,107,B & above
National 5 (SCQF level 5),Gaelic (Learners),2018,91,0.85,107,C & above
National 5 (SCQF level 5),Gaelic (Learners),2018,104,0.972,107,D & above
National 5 (SCQF level 5),Gaelic (Learners),2018,3,0.027999999999999997,107,U
National 5 (SCQF level 5),Gàidhlig,2018,115,0.628,183,A
National 5 (SCQF level 5),Gàidhlig,2018,147,0.8029999999999999,183,B & above
National 5 (SCQF level 5),Gàidhlig,2018,170,0.929,183,C & above
National 5 (SCQF level 5),Gàidhlig,2018,180,0.9840000000000001,183,D & above
National 5 (SCQF level 5),Gàidhlig,2018,3,0.016,183,U
National 5 (SCQF level 5),Geography,2018,2883,0.294,"9,795",A
National 5 (SCQF level 5),Geography,2018,4884,0.499,"9,795",B & above
National 5 (SCQF level 5),Geography,2018,6934,0.708,"9,795",C & above
National 5 (SCQF level 5),Geography,2018,8450,0.863,"9,795",D & above
National 5 (SCQF level 5),Geography,2018,1345,0.13699999999999998,"9,795",U
National 5 (SCQF level 5),German,2018,978,0.526,"1,859",A
National 5 (SCQF level 5),German,2018,1361,0.732,"1,859",B & above
National 5 (SCQF level 5),German,2018,1622,0.873,"1,859",C & above
National 5 (SCQF level 5),German,2018,1791,0.963,"1,859",D & above
National 5 (SCQF level 5),German,2018,68,0.037000000000000005,"1,859",U
